time_ms,upstream_rel_Pa,downstream_rel_Pa,deltaP_zeroed_Pa,read_gap_us
1224,1.79,-0.96,2.75,55
1237,2.45,-1.91,4.36,47
1250,0.64,-1.79,2.43,49
1263,-1.31,-1.74,0.43,49
1277,0.42,-1.65,2.07,49
1290,0.84,-0.91,1.75,50
1303,1.57,-1.70,3.27,48
1317,1.81,-1.94,3.75,54
1330,2.30,-0.33,2.62,49
1343,0.34,-0.30,0.65,46
1356,0.55,0.48,0.07,48
1370,2.08,0.84,1.23,46
1383,2.91,0.02,2.90,46
1396,3.40,0.43,2.97,48
1410,3.45,0.28,3.16,51
1423,3.23,0.28,2.95,54
1436,2.55,1.16,1.38,49
1449,2.23,0.45,1.77,49
1463,2.03,1.02,1.02,50
1476,1.27,1.36,-0.09,49
1489,2.01,-0.37,2.38,51
1503,2.20,-1.50,3.70,50
1516,2.64,-1.37,4.02,58
1529,1.59,-0.84,2.43,48
1543,1.12,0.60,0.52,51
1556,2.37,0.11,2.27,49
1569,2.86,0.89,1.97,50
1582,1.64,0.41,1.23,46
1596,2.20,0.80,1.41,51
1609,-0.07,-1.18,1.11,49
1622,0.77,-0.74,1.51,54
1636,1.74,-0.33,2.07,53
1649,1.27,-0.62,1.89,50
1662,0.91,-0.48,1.38,48
1675,0.55,0.23,0.31,49
1689,1.98,-1.74,3.73,48
1702,2.33,-1.59,3.92,50
1715,1.79,-0.40,2.19,53
1729,0.10,0.58,-0.48,50
1742,0.01,-0.11,0.12,48
1755,0.98,-0.11,1.09,51
1769,0.16,0.58,-0.42,47
1782,-0.68,0.84,-1.52,51
1795,-0.44,-0.18,-0.26,52
1808,0.52,1.30,-0.79,49
1822,0.98,0.60,0.38,52
1835,-0.48,-0.91,0.43,52
1848,-0.07,-1.04,0.97,47
1862,0.96,0.60,0.36,48
1875,0.45,0.50,-0.05,49
1888,-0.58,1.41,-1.98,45
1902,-0.16,1.04,-1.20,48
1915,-1.07,0.36,-1.43,55
1928,-1.58,0.55,-2.13,47
1941,-1.70,1.09,-2.79,49
1955,-1.36,-1.48,0.12,48
1968,1.55,-1.59,3.14,46
1981,0.96,-0.03,0.99,49
1995,0.10,-0.03,0.13,50
2008,0.96,-0.26,1.22,50
2021,0.40,-0.26,0.66,57
2034,0.32,-0.96,1.28,53
2048,0.55,-1.70,2.24,50
2061,-0.62,-1.45,0.83,51
2074,-1.19,-0.72,-0.47,49
